Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Luton Borough Council,DU00106322,"26,897.84",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Derby City Council,DU00106342,"27,494.51",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Diocese Of Salford,DU00106344,"36,024.00",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Walsall Metro Borough Council,DU00106346,"30,136.07",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Diocese Of Hallam Schools Payment Account,DU00106352,"61,660.85",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,DU00106356,"34,746.25",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Derby City Council,DU00106362,"45,890.22",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00106385,"31,597.00",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Derby City Council,DU00106392,"113,120.76",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,DU00106408,"32,575.00",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Manchester Diocesan Board Of Education,DU00106424,"70,524.94",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,DU00106428,"48,830.72",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Walsall Metro Borough Council,DU00106457,"37,362.33",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Sapientia Education Trust,DU00106458,"133,644.80",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,DU00106459,"72,304.04",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Somerset Council,DU00106462,"62,133.86",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00106468,"49,665.82",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Coventry City Council,DU00106472,"36,685.21",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00106483,"37,187.70",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,DU00106493,"34,958.00",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,DU00106520,"42,804.65",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Swindon Borough Council,DU00106529,"36,134.00",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Central Bedfordshire Council,DU00106533,"25,298.00",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00106536,"31,476.89",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Blackpool Borough Council,DU00106537,"71,906.81",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Derby City Council,DU00106538,"41,370.81",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Liverpool City Council,DU00106550,"49,831.95",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Luton Borough Council,DU00106569,"44,190.00",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Stoke On Trent City Council,DU00106592,"30,805.73",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Walsall Metro Borough Council,DU00106605,"27,375.00",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Liverpool City Council,DU00106606,"46,011.80",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00106620,"101,734.05",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,DU00106649,"29,514.05",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Somerset Council,DU00107392,"29,800.14",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00107416,"39,890.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Walsall Metro Borough Council,DU00107419,"51,894.10",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00107420,"27,276.66",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,North Northamptonshire Council,DU00107423,"31,486.85",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,DU00107425,"26,975.64",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Cambridgeshire County Council,DU00107437,"58,621.39",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Oldham Metropolitan Borough Council,DU00107447,"105,195.58",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00107449,"33,262.91",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Durham County Council,DU00107450,"25,602.63",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Manchester City Council,DU00107454,"26,235.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Sefton Metropolitan Borough Council,DU00107459,"93,312.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00107465,"34,151.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Suffolk County Council,DU00107473,"27,805.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,DU00107476,"36,310.47",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,The Diocese Of Norwich Education And Academies Trust,DU00107480,"32,361.99",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Halton Borough Council,DU00107484,"37,758.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Archdiocese Of Liverpool,DU00107485,"41,219.22",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Derby City Council,DU00107486,"30,915.66",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Diocese Of Salford,DU00107494,"34,320.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Diocese Of Salford,DU00107514,"29,895.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00107522,"37,051.28",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,DU00107523,"42,877.50",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00107524,"53,701.57",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Wakefield City Council,DU00107707,"29,008.30",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Durham County Council,DU00107710,"25,963.12",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,DU00107712,"30,502.64",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Norfolk County Council,DU00107732,"26,550.60",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Diocese Of Salford,DU00107735,"29,755.20",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Swindon Borough Council,DU00107737,"60,742.78",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00107742,"126,631.92",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,DU00107747,"39,584.60",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Oldham Metropolitan Borough Council,DU00107751,"37,508.64",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Oldham Metropolitan Borough Council,DU00107754,"28,579.96",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Derby City Council,DU00107776,"61,417.73",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Diocese Of Salford,DU00107791,"39,966.00",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,DU00107805,"29,978.98",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Oxfordshire County Council,DU00107806,"27,603.37",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Archdiocese Of Liverpool,DU00107830,"36,264.55",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Derby City Council,DU00107831,"52,003.16",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,DU00107834,"32,904.00",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Akaal Primary School,DU00107836,"38,640.00",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,North Yorkshire County Council,DU00107844,"26,709.59",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,DU00107852,"33,523.66",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Liverpool City Council,DU00107855,"40,475.99",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Birmingham Rc Diocesan Trustees Reg. Dev,DU00107859,"30,624.00",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Lichfield Diocesan Education Council Bar,DU00107868,"51,608.62",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Lichfield Diocesan Education Council Bar,DU00107870,"65,644.80",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,DU00107878,"42,530.33",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Newcastle Diocesan Education Board,DU00107885,"48,432.16",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Newcastle Diocesan Education Board,DU00107886,"44,209.05",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Walsall Metro Borough Council,DU00107898,"44,790.00",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Norfolk County Council,DU00107899,"25,785.16",Capital Grants - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Liverpool City Council,DU00107903,"29,389.13",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Other Goods and Services,Capital Directorate,Faithful And Gould,D-PINV063585,"387,009.46",Professional Services
Department for Education,Core,01/03/2024,Other Goods and Services,Capital Directorate,Wsp Uk Limited,D-PINV063629,"47,688.00",Professional Services
Department for Education,Core,01/03/2024,Other Goods and Services,Capital Directorate,Currie And Brown Uk Limited,D-PINV060097,"264,480.00",Professional Services
Department for Education,Core,05/03/2024,Other Goods and Services,Capital Directorate,Mott Macdonald Limited,D-PINV063946,"74,238.00",Professional Services
Department for Education,Core,20/03/2024,Other Goods and Services,Capital Directorate,Rider Levett Bucknall Uk Limited,D-PINV064217,"52,033.32",Professional Services
Department for Education,Core,28/03/2024,Other Goods and Services,Capital Directorate,Faithful And Gould,D-PINV064367,"61,080.71",Professional Services
Department for Education,Core,25/03/2024,Other Goods and Services,Capital Directorate,Faithful And Gould,D-PINV064366,"27,365.52",Professional Services
Department for Education,Core,26/03/2024,Other Goods and Services,Capital Directorate,Mott Macdonald Limited,D-PINV064446,"28,218.00",Professional Services
Department for Education,Core,28/03/2024,Other Goods and Services,Capital Directorate,Currie And Brown Uk Limited,D-PINV064448,"97,890.00",Professional Services
Department for Education,Core,28/03/2024,Other Goods and Services,Capital Directorate,Ove Arup And Partners Limited,D-PINV064538,"35,530.80",Professional Services
Department for Education,Core,04/03/2024,Grants Expenditure,Capital Directorate,Kantor King Solomon High School,D-CINV006397,"307,095.39",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,William Ellis School,D-CINV006477,"43,974.36",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,William Ellis School,D-CINV006479,"74,156.71",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,The Latymer School,D-CINV006484,"35,331.66",Capital Grants - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Ermysted'S Grammar School,D-CINV006489,"72,000.00",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,King David High School,D-CINV006523,"65,837.97",Capital Grants - Local Government
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Manchester Mesivta School,D-CINV006405,"25,498.00",Capital Grants - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Prendergast School,D-CINV006599,"27,241.20",Capital Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,William Ellis School,D-CINV006600,"25,467.25",Capital Grants - Local Government
Department for Education,Core,04/03/2024,Grants Expenditure,Capital Directorate,Nottinghamshire County Council,D-CINV006376,"327,515.48",Capital Grant - Local Government
Department for Education,Core,13/03/2024,Grants Expenditure,Capital Directorate,Lincolnshire County Council,D-CINV006462,"533,115.58",Capital Grant - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Lincolnshire County Council,D-CINV006675,"781,361.72",Capital Grant - Local Government
Department for Education,Core,18/03/2024,Grants Expenditure,Capital Directorate,St Catherine'S Secure Centre,D-CINV006526,"127,111.32",Capital Grants - Private Sector (Non Profit Institutions Serving Households)
Department for Education,Core,27/03/2024,Grants Expenditure,Capital Directorate,St Catherine'S Secure Centre,D-CINV006632,"55,222.80",Capital Grants - Private Sector (Non Profit Institutions Serving Households)
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,St Catherine'S Secure Centre,D-CINV006633,"85,540.80",Capital Grants - Private Sector (Non Profit Institutions Serving Households)
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Camden London Borough Council,DU00107538,"1,121,371.60",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Greenwich London Borough Council,DU00107539,"3,251,283.44",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Hackney London Borough Council,DU00107540,"2,420,200.60",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Hammersmith And Fulham London Borough Council,DU00107541,"960,603.13",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Islington London Borough Council,DU00107542,"1,376,157.11",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Royal Borough Of Kensington And Chelsea Council,DU00107543,"665,874.41",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Lambeth London Borough Council,DU00107544,"2,079,412.42",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Lewisham London Borough Council,DU00107545,"3,287,786.40",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Southwark London Borough Council,DU00107546,"4,174,651.59",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,London Borough Of Tower Hamlets,DU00107547,"2,589,574.74",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Wandsworth Borough Council,DU00107548,"1,852,943.71",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Westminster City Council,DU00107549,"1,596,105.16",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Barking And Dagenham London Borough Council,DU00107550,"2,689,690.94",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Barnet London Borough Council,DU00107551,"4,118,911.24",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bexley London Borough Council,DU00107552,"4,342,285.59",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Brent London Borough Council,DU00107553,"5,238,359.79",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bromley London Borough Council,DU00107554,"4,340,012.18",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Croydon London Borough Council,DU00107555,"4,523,962.90",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Ealing London Borough Council,DU00107556,"4,777,589.00",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Enfield London Borough Council,DU00107557,"6,064,707.69",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Haringey London Borough Council,DU00107558,"2,657,784.86",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Harrow London Borough Council,DU00107559,"3,461,766.12",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Havering London Borough Council,DU00107560,"3,170,749.17",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,London Borough Of Hillingdon,DU00107561,"3,701,323.21",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Hounslow London Borough Council,DU00107562,"4,823,078.10",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Royal Borough Of Kingston Upon Thames Council,DU00107563,"1,758,265.39",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Merton Borough Council,DU00107564,"3,034,233.72",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Newham London Borough Council,DU00107565,"6,708,563.52",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Redbridge London Borough Council,DU00107566,"3,020,108.37",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Richmond Upon Thames London Borough Council,DU00107567,"2,625,104.35",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,London Borough Of Sutton,DU00107568,"2,028,049.43",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Waltham Forest London Borough Council,DU00107569,"2,461,656.38",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Birmingham City Council,DU00107570,"12,147,842.69",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Coventry City Council,DU00107571,"4,147,320.90",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Dudley Metropolitan Borough Council,DU00107572,"4,224,723.21",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00107573,"3,652,675.94",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Solihull Metro Borough Council,DU00107574,"2,459,631.77",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Walsall Metro Borough Council,DU00107575,"4,241,731.61",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Wolverhampton City Council,DU00107576,"2,179,281.99",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Knowsley Metro Borough Council,DU00107577,"1,869,053.46",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Liverpool City Council,DU00107578,"3,377,550.50",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,St Helens Metro Borough Council,DU00107579,"1,292,243.83",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Sefton Metropolitan Borough Council,DU00107580,"3,369,938.30",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Wirral Metro Borough Council,DU00107581,"2,974,627.88",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bolton Metro Borough Council,DU00107582,"3,194,107.68",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bury Metro Borough Council,DU00107583,"2,648,918.99",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Manchester City Council,DU00107584,"5,712,679.63",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Oldham Metropolitan Borough Council,DU00107585,"2,119,686.66",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,DU00107586,"3,607,655.72",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,DU00107587,"1,898,849.40",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Stockport Metro Borough Council,DU00107588,"3,321,252.04",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Tameside Metro Borough Council,DU00107589,"3,373,350.51",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Trafford Borough Council,DU00107590,"2,983,105.15",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Wigan Metropolitan Borough Council,DU00107591,"3,754,025.39",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Barnsley Metropolitan Borough Council,DU00107592,"3,102,723.05",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Doncaster Metro Borough Council,DU00107593,"3,969,840.37",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Rotherham Borough Council,DU00107594,"2,465,766.79",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Sheffield City Council,DU00107595,"3,783,524.24",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,DU00107596,"5,984,351.18",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Calderdale Metro Borough Council,DU00107597,"1,493,519.63",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Kirklees Metro Council,DU00107598,"5,016,718.49",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,DU00107599,"5,708,126.05",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Wakefield City Council,DU00107600,"4,511,799.94",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Gateshead Council,DU00107601,"1,204,130.43",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Newcastle Upon Tyne City Council,DU00107602,"1,853,306.62",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,North Tyneside Metro Borough Council,DU00107603,"1,372,110.29",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,South Tyneside Council,DU00107604,"1,271,854.68",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Sunderland City Metro Borough Council,DU00107605,"2,839,015.47",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bath And North East Somerset Council,DU00107606,"1,502,664.02",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bristol City Council,DU00107607,"3,124,193.19",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,North Somerset Council,DU00107608,"2,851,161.47",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,South Gloucestershire Council,DU00107609,"3,893,442.82",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Hartlepool Borough Council,DU00107610,"665,421.36",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Middlesbrough Council,DU00107611,"1,160,438.21",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Redcar And Cleveland Borough Council,DU00107612,"907,595.55",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Stockton On Tees Borough Council,DU00107613,"1,810,893.87",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Kingston Upon Hull City Council,DU00107614,"3,659,532.07",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,East Riding Of Yorkshire Council,DU00107615,"3,703,540.41",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,North East Lincolnshire Council,DU00107616,"1,126,450.33",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,North Lincolnshire Council,DU00107617,"2,101,150.80",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,North Yorkshire County Council,DU00107618,"5,567,787.30",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,City Of York Council,DU00107619,"1,109,246.26",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Luton Borough Council,DU00107620,"2,079,509.40",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bedford Borough Council,DU00107621,"1,810,973.88",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Central Bedfordshire Council,DU00107622,"4,184,820.24",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Buckinghamshire Council,DU00107623,"6,878,971.56",Capital Grants - Local Government
