Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Roseacre Primary Academy,DU00106629,"83,927.58",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,The Co-Operative Academies Trust,DU00106630,"46,979.17",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,University Technical College Leeds,DU00106631,"75,808.96",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Tove Learning Trust,DU00106632,"86,634.94",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Outwood Grange Academies Trust,DU00106633,"105,830.00",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,United Learning Trust,DU00106634,"91,396.72",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,All Saints Academy Dunstable,DU00106635,"88,331.76",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,The Co-Operative Academies Trust,DU00106636,"43,785.91",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Leaf Trust,DU00106637,"37,147.55",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Warrington Primary Academy Trust,DU00106638,"31,919.00",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Activate Learning Education Trust,DU00106642,"48,842.53",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,United Learning Trust,DU00106643,"90,858.25",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Castle School Education Trust,DU00106644,"90,293.72",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,United Learning Trust,DU00106645,"125,354.25",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Feversham Girls' Academy,DU00106647,"120,371.31",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Rainhill High School,DU00106648,"99,087.06",Capital Grants - Academy Trust
Department for Education,Core,15/03/2024,Grants Expenditure,Capital Directorate,Cockburn Multi Academy Trust,DU00106651,"44,964.75",Capital Grants - Academy Trust
Department for Education,Core,27/03/2024,Grants Expenditure,Capital Directorate,The Bishop Konstant Catholic Academy Trust,DU00107367,"42,458.92",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,The Liverpool Joint Catholic Cofe Academies Trust,DU00107369,"109,213.90",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Anglian Learning,DU00107372,"150,935.37",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Anglian Learning,DU00107373,"110,427.69",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Derby Diocesan Academy Trust 2,DU00107376,"35,818.57",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Inspire Education Trust,DU00107381,"61,004.70",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,St Bart'S Multi Academy Trust,DU00107384,"27,355.79",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Focus Academy Trust (Uk) Ltd,DU00107396,"56,409.40",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Mousehold Infant And Nursery School,DU00107402,"37,213.65",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Ambitions Academies Trust,DU00107405,"71,498.96",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Odyssey Collaborative Trust,DU00107421,"26,143.21",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Redhill Academy Trust,DU00107430,"28,263.10",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Redhill Academy Trust,DU00107438,"71,112.21",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Redhill Academy Trust,DU00107439,"47,301.62",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Fylde Coast Academy Trust,DU00107443,"25,006.40",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,The Consortium Multi-Academy Trust,DU00107451,"54,863.96",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Redhill Academy Trust,DU00107452,"30,254.66",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Lingfield Education Trust,DU00107456,"53,831.53",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Saint Edmund Arrowsmith Catholic Academy,DU00107468,"101,605.44",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Focus Academy Trust (Uk) Ltd,DU00107470,"36,938.08",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Lincolnshire Gateway Academies Trust,DU00107475,"73,077.09",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Ocklynge Junior School,DU00107478,"30,515.70",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,St Ralph Sherwin Catholic Multi Academy Trust,DU00107483,"94,127.06",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Lipa Primary And High School,DU00107487,"41,854.60",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Lipa Sixth Form College,DU00107490,"44,069.50",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,The Fen Rivers Academy,DU00107492,"44,421.84",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Archway Learning Trust,DU00107497,"28,897.00",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Bolton St Catherine'S Academy,DU00107498,"69,918.81",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Archway Learning Trust,DU00107499,"32,560.00",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Archway Learning Trust,DU00107501,"64,944.00",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Archway Learning Trust,DU00107502,"48,026.00",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Castle Phoenix Trust,DU00107505,"33,966.52",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Our Lady Of Lourdes Catholic Multi-Academy Trust,DU00107508,"32,429.77",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,The Shaw Education Trust,DU00107516,"28,144.00",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Penrose Learning Trust,DU00107517,"26,616.42",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Sandon Primary Academy,DU00107518,"42,634.53",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Harbour Learning Trust,DU00107519,"40,278.49",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,The Cam Academy Trust,DU00107520,"57,961.44",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Harbour Learning Trust,DU00107521,"42,321.81",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Thurlton Primary School,DU00107526,"55,477.97",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Shireland Collegiate Academy Trust,DU00107527,"88,738.00",Capital Grants - Academy Trust
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Shireland Collegiate Academy Trust,DU00107528,"40,672.05",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Northern Education Trust,DU00107693,"91,406.00",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Macmillan Academy,DU00107700,"60,464.01",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Esteem Multi-Academy Trust,DU00107701,"40,006.68",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Esteem Multi-Academy Trust,DU00107702,"34,870.16",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Shaw Education Trust,DU00107704,"59,210.21",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Staploe Education Trust,DU00107706,"27,711.34",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Staploe Education Trust,DU00107713,"106,754.64",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Inmat,DU00107715,"30,748.44",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Staploe Education Trust,DU00107717,"47,100.84",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Busill Jones Primary School,DU00107719,"33,237.58",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Shared Learning Trust,DU00107723,"121,161.29",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Ambitions Academies Trust,DU00107724,"36,323.58",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Skipton Academy,DU00107729,"34,286.73",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Woodard Academies Trust,DU00107731,"45,809.08",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,St Thomas Catholic Academies Trust,DU00107741,"33,052.80",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Hollington Primary Academy,DU00107761,"31,257.66",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Harbour Learning Trust,DU00107763,"42,507.50",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Learners Trust,DU00107778,"25,119.98",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Saxon Mount School,DU00107781,"35,001.75",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,University Of Brighton Academies Trust,DU00107789,"29,435.42",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Northern Education Trust,DU00107798,"93,684.31",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Xp School Trust Limited,DU00107808,"46,485.08",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Unity Schools Partnership,DU00107809,"30,850.00",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Tonge Moor Primary Academy,DU00107810,"28,961.02",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Exceed Academies Trust,DU00107812,"37,985.00",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Watergrove Trust,DU00107813,"46,715.51",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Watergrove Trust,DU00107814,"29,590.33",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Watergrove Trust,DU00107815,"35,250.18",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Watergrove Trust,DU00107816,"53,653.02",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Alder Tree Primary Academy,DU00107817,"42,346.50",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Vantage Ce Academies Trust,DU00107818,"40,521.23",Capital Grants - Academy Trust
